species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url,total_score,selection_status
Nineta flava,Nineta,Chrysopidae,,Hemerobiiformia,Neuroptera,outgroup,GCA_963920215.1,inNinFlav1.1,Chromosome,reference genome,732.34,5799206,119373907,187,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB71418,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920215.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963920215.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963920215.1.zip","datasets download genome accession GCA_963920215.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB71418,210.76909408164227,primary
Nipponaphaenops erraticus,Nipponaphaenops,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_050230155.1,HU_Nerr_1.0,Scaffold,reference genome,463.81,21837,75634,25920,30.5,yes,NCBI/RefSeq,NCBI,,PRJNA1237515,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_050230155.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_050230155.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_050230155.1.zip","datasets download genome accession GCA_050230155.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1237515,138.78717069217876,primary
Nothochrysa capitata,Nothochrysa,Chrysopidae,,Hemerobiiformia,Neuroptera,outgroup,GCA_965240235.1,inNotCapi1.hap1.1,Chromosome,reference genome,688.43,19002780,61893665,1527,28.0,yes,NCBI/RefSeq,NCBI,,PRJEB88338,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965240235.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965240235.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965240235.1.zip","datasets download genome accession GCA_965240235.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB88338,207.91646199967812,primary
Notiophilus biguttatus,Notiophilus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_965642445.1,icNotBigu1.1,Chromosome,reference genome,490.36,3818127,22792868,459,30.0,yes,NCBI/RefSeq,NCBI,,PRJEB93845,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642445.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642445.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642445.1.zip","datasets download genome accession GCA_965642445.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93845,203.5779897538693,primary
Notoxus monoceros,Notoxus,Anthicidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_965276455.1,icNotMono1.hap1.1,Chromosome,reference genome,1173.06,5447211,130424048,719,32.0,yes,NCBI/RefSeq,NCBI,,PRJEB89052,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965276455.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965276455.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965276455.1.zip","datasets download genome accession GCA_965276455.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB89052,211.15357675374435,primary
Novius pumilus,Novius,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_020654155.1,ASM2065415v1,Contig,reference genome,182.42,7579481,7579481,942,37.0,yes,NCBI/RefSeq,NCBI,,PRJNA626074,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020654155.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_020654155.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_020654155.1.zip","datasets download genome accession GCA_020654155.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA626074,118.79639468619791,primary
Octodonta nipae,Octodonta,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_034190945.1,ASM3419094v1,Chromosome,reference genome,1303.76,1021275,148600573,521,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA1016083,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034190945.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_034190945.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_034190945.1.zip","datasets download genome accession GCA_034190945.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1016083,211.72020484056173,primary
Ocypus olens,Ocypus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_910593695.2,icOcyOlen1.2,Chromosome,reference genome,1083.85,4567902,57303393,187,32.5,yes,NCBI/RefSeq,NCBI,,PRJEB45833,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910593695.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_910593695.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_910593695.2.zip","datasets download genome accession GCA_910593695.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45833,207.5818033780597,primary
Ocys tachysoides,Ocys,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_965282375.1,icOcyTach1.1,Chromosome,reference genome,493.76,3804920,44569281,272,30.0,yes,NCBI/RefSeq,NCBI,,PRJEB89445,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965282375.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965282375.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965282375.1.zip","datasets download genome accession GCA_965282375.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB89445,206.49035628022654,primary
Odontolabis cuvera,Odontolabis,Lucanidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_049462965.1,ASM4946296v1,Chromosome,reference genome,908.07,16385938,65358025,66,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1201744,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_049462965.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_049462965.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_049462965.1.zip","datasets download genome accession GCA_049462965.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1201744,208.1529892013756,primary
Oedemera lurida,Oedemera,Oedemeridae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_979846555.1,icOedLuri2.1,Chromosome,reference genome,1284.76,4848000,88392728,888,39.0,yes,NCBI/RefSeq,NCBI,,PRJEB108216,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_979846555.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_979846555.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_979846555.1.zip","datasets download genome accession GCA_979846555.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108216,209.4641653741828,primary
Ogcogaster segmentator,Ogcogaster,Myrmeleontidae,,Myrmeleontiformia,Neuroptera,outgroup,GCA_055697045.1,ASM5569704v1,Scaffold,reference genome,304.79,3786,3834,94026,29.0,yes,NCBI/RefSeq,NCBI,,PRJNA1403738,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055697045.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055697045.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055697045.1.zip","datasets download genome accession GCA_055697045.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1403738,125.83652108542043,primary
Oligota sp. GC000189,Oligota,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_030264595.1,Caltech_Oli_1.0,Scaffold,,159.71,1743,4087,51437,32.5,check,,NCBI,,PRJNA764224,,,,,,,to_verify,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030264595.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030264595.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030264595.1.zip","datasets download genome accession GCA_030264595.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764224,86.11404637711593,primary
Ontholestes murinus,Ontholestes,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_963969525.1,icOntMuri1.1,Chromosome,reference genome,1023.31,662260,74692260,1441,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB73304,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963969525.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963969525.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963969525.1.zip","datasets download genome accession GCA_963969525.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB73304,208.73275600296674,primary
Onthophagus binodis,Onthophagus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_054643895.1,ObinF,Chromosome,reference genome,950.48,62142972,110368079,131,34.5,yes,NCBI/RefSeq,NCBI,,PRJNA1308620,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054643895.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054643895.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054643895.1.zip","datasets download genome accession GCA_054643895.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1308620,210.4284348354961,primary
Onthophagus sagittarius,Onthophagus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_036711965.1,IU_Osag_1.0,Scaffold,reference genome,553.2,17017457,67799835,106,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA966935,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_036711965.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_036711965.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_036711965.1.zip","datasets download genome accession GCA_036711965.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA966935,168.31228636954427,primary
Onthophagus taurus,Onthophagus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCF_036711975.1,IU_Otau_3.0,Chromosome,reference genome,290.86,33052070,33174080,33,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA966962,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036711975.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_036711975.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_036711975.1.zip","datasets download genome accession GCF_036711975.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA966962,205.2079888763403,primary
Ophonus ardosiacus,Ophonus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_943142095.1,icOphArdo1.1,Chromosome,reference genome,911.9,8331656,52059326,73,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB52910,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_943142095.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_943142095.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_943142095.1.zip","datasets download genome accession GCA_943142095.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB52910,207.16498541099847,primary
Ophraella communa,Ophraella,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_035357415.1,ASM3535741v1,Chromosome,reference genome,733.13,6792531,45027102,54,32.0,yes,NCBI/RefSeq,NCBI,,PRJNA899605,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_035357415.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_035357415.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_035357415.1.zip","datasets download genome accession GCA_035357415.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA899605,206.53473996132158,primary
Opilo mollis,Opilo,Cleridae,Cleroidea,Polyphaga,Coleoptera,ingroup,GCA_964338635.1,icOpiMoll1.hap1.1,Chromosome,reference genome,1597.79,5501207,173272706,412,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB82306,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964338635.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964338635.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964338635.1.zip","datasets download genome accession GCA_964338635.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB82306,212.3873015782566,primary
Orchesia undulata,Orchesia,Melandryidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_965642315.1,icOrcUndu1.hap1.1,Chromosome,reference genome,226.79,4513838,26832798,32,38.5,yes,NCBI/RefSeq,NCBI,,PRJEB93772,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642315.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642315.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642315.1.zip","datasets download genome accession GCA_965642315.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93772,204.28665961251988,primary
Orchestes rusci,Orchestes,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_958502075.1,icOrcRusc1.1,Chromosome,reference genome,624.02,1248716,81830918,120,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB64389,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_958502075.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_958502075.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_958502075.1.zip","datasets download genome accession GCA_958502075.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB64389,209.12917423229112,primary
Oryctes borbonicus,Oryctes,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_902654985.2,Oryctes_borbonicus_mpgtue_10X,Scaffold,reference genome,428.25,150028,8361481,14217,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB34604,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_902654985.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_902654985.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_902654985.2.zip","datasets download genome accession GCA_902654985.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB34604,159.22283207243186,primary
Oryctes rhinoceros,Oryctes,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_020654165.1,S4-7k-2v3,Scaffold,reference genome,377.36,10534518,10697081,1013,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA752921,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_020654165.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_020654165.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_020654165.1.zip","datasets download genome accession GCA_020654165.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA752921,160.2926528436357,primary
Oryzaephilus surinamensis,Oryzaephilus,Silvanidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCA_052058915.1,ASM5205891v1,Contig,reference genome,91.4,37040,37040,11912,29.5,yes,NCBI/RefSeq,NCBI,,PRJNA1282779,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052058915.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_052058915.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_052058915.1.zip","datasets download genome accession GCA_052058915.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1282779,95.68670978009897,primary
Osmoderma eremita,Osmoderma,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_031763485.1,ASM3176348v1,Scaffold,reference genome,494.66,10029,14873,112634,36.5,yes,NCBI/RefSeq,NCBI,,PRJNA901143,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031763485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_031763485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_031763485.1.zip","datasets download genome accession GCA_031763485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA901143,131.72398577939305,primary
Osmylus fulvicephalus,Osmylus,Osmylidae,,Myrmeleontiformia,Neuroptera,outgroup,GCA_977109365.1,inOsmFulv5.1,Chromosome,reference genome,674.68,51542635,116168846,24,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB90647,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977109365.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977109365.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977109365.1.zip","datasets download genome accession GCA_977109365.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB90647,210.65089675176887,primary
Othius punctulatus,Othius,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_951805005.1,icOthPunc1.1,Chromosome,reference genome,870.45,7685560,97110198,470,33.0,yes,NCBI/RefSeq,NCBI,,PRJEB62773,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_951805005.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_951805005.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_951805005.1.zip","datasets download genome accession GCA_951805005.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB62773,209.8726483961518,primary
Otiorhynchus rugosostriatus,Otiorhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_982191755.1,icOtiRugo1.hap1.1,Chromosome,reference genome,397.5,13140803,13769150,37,38.5,yes,NCBI/RefSeq,NCBI,,PRJEB109071,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982191755.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_982191755.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_982191755.1.zip","datasets download genome accession GCA_982191755.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB109071,201.3890713112812,primary
Oxypoda opaca,Oxypoda,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_030264175.1,Caltech_Oxy_1.0,Scaffold,reference genome,183.12,6155,14628,27629,37.5,yes,NCBI/RefSeq,NCBI,,PRJNA764224,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030264175.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030264175.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030264175.1.zip","datasets download genome accession GCA_030264175.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764224,131.65184951666006,primary
Oxystoma pomonae,Oxystoma,Apionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_963921995.1,icOxyPomo2.1,Chromosome,reference genome,1174.34,11698280,115244409,18,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB71841,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963921995.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963921995.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963921995.1.zip","datasets download genome accession GCA_963921995.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB71841,210.61619865086874,primary
Pachyrhinus lethierryi,Pachyrhinus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965118235.1,icPacLeth1.hap1.1,Chromosome,reference genome,619.57,8125853,55447666,20,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB85256,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965118235.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965118235.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965118235.1.zip","datasets download genome accession GCA_965118235.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB85256,207.43883269788074,primary
Pachyrhynchus sulphureomaculatus,Pachyrhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_019049505.1,P_sulf_FINAL_HiC_nocotam_named,Chromosome,reference genome,2051.39,299666,215921627,4093,34.0,yes,NCBI/RefSeq,NCBI,,PRJNA731935,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_019049505.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_019049505.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_019049505.1.zip","datasets download genome accession GCA_019049505.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA731935,213.3429614403114,primary
Paederus riparius,Paederus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_978046105.1,icPaeRipa1.hap1.1,Chromosome,reference genome,1201.41,358822,68032290,2001,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB107037,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978046105.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978046105.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978046105.1.zip","datasets download genome accession GCA_978046105.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB107037,208.32715089770286,primary
Palpares libelluloides,Palpares,Myrmeleontidae,,Myrmeleontiformia,Neuroptera,outgroup,GCA_055697005.1,ASM5569700v1,Scaffold,reference genome,261.54,5179,5272,65970,28.0,yes,NCBI/RefSeq,NCBI,,PRJNA1403738,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055697005.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055697005.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055697005.1.zip","datasets download genome accession GCA_055697005.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1403738,127.21975401585954,primary
Pediacus dermestoides,Pediacus,Cucujidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCA_963942485.1,icPedDerm1.1,Chromosome,reference genome,235.02,5783852,31898251,107,32.0,yes,NCBI/RefSeq,NCBI,,PRJEB72467,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963942485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963942485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963942485.1.zip","datasets download genome accession GCA_963942485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72467,205.03766871086253,primary
Phaedon cochleariae,Phaedon,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_979016925.1,icPhaCoch1.hap1.1,Chromosome,reference genome,936.67,2113065,60504008,384,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB107948,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_979016925.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_979016925.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_979016925.1.zip","datasets download genome accession GCA_979016925.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB107948,207.8178414481162,primary
