organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Arhopalus rusticus,256647,Cerambycidae,Polyphaga,DToL,icArhRust1.hap1.3,Chromosome,published,GCA_964213965.2,CAXOWG02,1275.12,8726949,Chromosome,GCA_964213965.2,assembly,yes
Actenicerus siaelandicus,869165,Elateridae,Polyphaga,DToL,icActSiae1.1,Chromosome,published,GCA_964234755.1,CAXRZZ01,854.91,6386061,Chromosome,GCA_964234755.1,assembly,yes
Ampedus sanguinolentus,941989,Elateridae,Polyphaga,DToL,icAmpSanu1.hap1.1,Chromosome,published,GCA_964234815.1,CAXSAK01,1574.76,6816912,Chromosome,GCA_964234815.1,assembly,yes
Ampedus sanguinolentus,941989,Elateridae,Polyphaga,DToL,icAmpSanu1.hap2.1,Scaffold,published,GCA_964234845.1,CAXSAL01,1572.87,5398259,Scaffold,GCA_964234845.1,assembly,yes
Anaspis frontalis,433021,Scraptiidae,Polyphaga,DToL,icAnaFron3.hap2.1,Scaffold,published,GCA_964243875.1,CAXTLL01,802.05,671465,Scaffold,GCA_964243875.1,assembly,yes
Anaspis frontalis,433021,Scraptiidae,Polyphaga,DToL,icAnaFron3.hap1.1,Chromosome,published,GCA_964243895.1,CAXTLJ01,808.55,663525,Chromosome,GCA_964243895.1,assembly,yes
Longitarsus flavicornis,878065,Chrysomelidae,Polyphaga,DToL,icLonFlav1.hap2.1,Scaffold,published,GCA_964258775.1,CAXVHO01,1045.44,1524663,Scaffold,GCA_964258775.1,assembly,yes
Longitarsus flavicornis,878065,Chrysomelidae,Polyphaga,DToL,icLonFlav1.hap1.1,Chromosome,published,GCA_964258785.1,CAXVHP01,1128.25,1366323,Chromosome,GCA_964258785.1,assembly,yes
Anthocomus fasciatus,346704,Melyridae,Polyphaga,DToL,icAntFasc1.hap1.1,Chromosome,published,GCA_964258815.1,CAXVHB01,528.59,8206270,Chromosome,GCA_964258815.1,assembly,yes
Anthocomus fasciatus,346704,Melyridae,Polyphaga,DToL,icAntFasc1.hap2.1,Scaffold,published,GCA_964258825.1,CAXVHI01,530.75,8314020,Scaffold,GCA_964258825.1,assembly,yes
Sitona lineatus,202195,Curculionidae,Polyphaga,DToL,icSitLine7.1,Chromosome,published,GCA_964263205.1,CAXVUM01,835.4,8906263,Chromosome,GCA_964263205.1,assembly,yes
Malthodes minimus,878135,Cantharidae,Polyphaga,DToL,icMalMini1.1,Chromosome,published,GCA_964263285.1,CAXVUT01,583.6,1842732,Chromosome,GCA_964263285.1,assembly,yes
Tarphius canariensis,124803,Zopheridae,Polyphaga,DToL,icTarCana1.1,Chromosome,published,GCA_964277315.1,CAXYHY01,310.72,14492433,Chromosome,GCA_964277315.1,assembly,yes
Grammoptera ruficornis,351486,Cerambycidae,Polyphaga,DToL,icGraRufi3.hap2.1,Scaffold,published,GCA_964332075.1,CAYESX01,431.82,7197351,Scaffold,GCA_964332075.1,assembly,yes
Grammoptera ruficornis,351486,Cerambycidae,Polyphaga,DToL,icGraRufi3.hap1.1,Chromosome,published,GCA_964332215.1,CAYEST01,431.59,6863000,Chromosome,GCA_964332215.1,assembly,yes
Opilo mollis,1445684,Cleridae,Polyphaga,DToL,icOpiMoll1.hap2.1,Scaffold,published,GCA_964338625.1,CAYETK01,1591.6,5984000,Scaffold,GCA_964338625.1,assembly,yes
Opilo mollis,1445684,Cleridae,Polyphaga,DToL,icOpiMoll1.hap1.1,Chromosome,published,GCA_964338635.1,CAYETL01,1597.79,5501207,Chromosome,GCA_964338635.1,assembly,yes
Quedius lateralis,878401,Staphylinidae,Polyphaga,DToL,icQueLate1.hap1.1,Chromosome,published,GCA_964338995.1,CAYEUU01,753.01,6014424,Chromosome,GCA_964338995.1,assembly,yes
Quedius lateralis,878401,Staphylinidae,Polyphaga,DToL,icQueLate1.hap2.1,Scaffold,published,GCA_964339035.1,CAYEUV01,835.79,3644730,Scaffold,GCA_964339035.1,assembly,yes
Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,DToL,icPriSerr1.hap1.1,Chromosome,published,GCA_965648515.1,CBFGHN01,433.11,5823847,Chromosome,GCA_965648515.1,assembly,yes
Tribolium castaneum,7070,Tenebrionidae,Polyphaga,unknown,Tcas5.2,Chromosome,published,GCA_000002335.3,AAJJ02,165.93,73049,Chromosome,GCA_000002335.3,assembly,yes
Diorhabda carinata,1163344,Chrysomelidae,Polyphaga,DToL,icDioCarn1.1,Chromosome,published,GCA_029229535.1,JAOVVM01,449.9,24536916,Chromosome,GCA_029229535.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,unknown,ASM3701363v1,Chromosome,published,GCA_037013635.1,JAYMYH01,233.27,10689844,Chromosome,GCA_037013635.1,assembly,yes
Colydium elongatum,295817,Zopheridae,Polyphaga,DToL,icColElon2.1,Chromosome,published,GCA_964656385.1,CAZZRO01,450.16,2413158,Chromosome,GCA_964656385.1,assembly,yes
Bitoma crenata,346746,Zopheridae,Polyphaga,DToL,icBitCren1.2,Chromosome,published,GCA_964656825.2,CAZZTD02,154.47,5672891,Chromosome,GCA_964656825.2,assembly,yes
Grypus equiseti,1553333,Erirhinidae,Polyphaga,DToL,icGryEqui2.1,Chromosome,published,GCA_964656865.1,CAZZTI01,779.27,968598,Chromosome,GCA_964656865.1,assembly,yes
Uleiota planata,346868,Silvanidae,Polyphaga,DToL,icUlePlan3.1,Chromosome,published,GCA_965112455.1,CBCORI01,586.49,4820208,Chromosome,GCA_965112455.1,assembly,yes
Prionychus ater,347445,Tenebrionidae,Polyphaga,DToL,icPriAter1.hap2.1,Scaffold,published,GCA_965112465.1,CBCOQY01,347.54,1640624,Scaffold,GCA_965112465.1,assembly,yes
Prionychus ater,347445,Tenebrionidae,Polyphaga,DToL,icPriAter1.hap1.1,Chromosome,published,GCA_965112505.1,CBCOQZ01,385.22,1817819,Chromosome,GCA_965112505.1,assembly,yes
Dalopius marginatus,1553258,Elateridae,Polyphaga,DToL,icDalMarg2.1,Chromosome,published,GCA_965112895.1,CBCOSW01,831.21,10236000,Chromosome,GCA_965112895.1,assembly,yes
Pachyrhinus lethierryi,857166,Curculionidae,Polyphaga,DToL,icPacLeth1.hap2.1,Scaffold,published,GCA_965118225.1,CBCPHE01,512.45,649918,Scaffold,GCA_965118225.1,assembly,yes
Pachyrhinus lethierryi,857166,Curculionidae,Polyphaga,DToL,icPacLeth1.hap1.1,Chromosome,published,GCA_965118235.1,CBCPHD01,619.57,8125853,Chromosome,GCA_965118235.1,assembly,yes
Malthodes marginatus,346798,Cantharidae,Polyphaga,DToL,icMalMarg1.hap2.1,Scaffold,published,GCA_965119225.1,CBCPKX01,332.93,7903628,Scaffold,GCA_965119225.1,assembly,yes
Malthodes marginatus,346798,Cantharidae,Polyphaga,DToL,icMalMarg1.hap1.1,Chromosome,published,GCA_965119235.1,CBCPKY01,343.82,7986321,Chromosome,GCA_965119235.1,assembly,yes
Limonius poneli,1588201,Elateridae,Polyphaga,DToL,icLimPone1.hap2.1,Chromosome,published,GCA_965119585.1,CBCPMC01,1247.44,7740000,Chromosome,GCA_965119585.1,assembly,yes
Limonius poneli,1588201,Elateridae,Polyphaga,DToL,icLimPone1.hap1.1,Chromosome,published,GCA_965119595.1,CBCPMD01,1351.61,6595346,Chromosome,GCA_965119595.1,assembly,yes
Chrysomela saliceti,1587176,Chrysomelidae,Polyphaga,DToL,icChrSali1.hap1.1,Chromosome,published,GCA_965121785.1,CBCPVZ01,738.63,2151317,Chromosome,GCA_965121785.1,assembly,yes
Chrysomela saliceti,1587176,Chrysomelidae,Polyphaga,DToL,icChrSali1.hap2.1,Scaffold,published,GCA_965122525.1,CBCPXV01,703.32,2044294,Scaffold,GCA_965122525.1,assembly,yes
Longitarsus dorsalis,346795,Chrysomelidae,Polyphaga,DToL,icLonDors1.hap1.1,Chromosome,published,GCA_965178105.1,CBCXUW01,1034.95,7050000,Chromosome,GCA_965178105.1,assembly,yes
Longitarsus dorsalis,346795,Chrysomelidae,Polyphaga,DToL,icLonDors1.hap2.1,Scaffold,published,GCA_965178215.1,CBCXVA01,990.33,496309,Scaffold,GCA_965178215.1,assembly,yes
Ceutorhynchus obstrictus,307131,Curculionidae,Polyphaga,DToL,icCeuObst1.1,Chromosome,published,GCA_965178145.1,CBCXUP01,728.81,4747246,Chromosome,GCA_965178145.1,assembly,yes
Coccidula rufa,115345,Coccinellidae,Polyphaga,DToL,icCocRufa1.hap1.1,Chromosome,published,GCA_965178175.1,CBCXUQ01,1068.72,6434000,Chromosome,GCA_965178175.1,assembly,yes
Coccidula rufa,115345,Coccinellidae,Polyphaga,DToL,icCocRufa1.hap2.1,Scaffold,published,GCA_965178285.1,CBCXUZ01,1073.54,6142486,Scaffold,GCA_965178285.1,assembly,yes
Biphyllus lunatus,197003,Biphyllidae,Polyphaga,DToL,icBipLuna3.hap1.1,Chromosome,published,GCA_965194465.1,CBDADM01,421.11,10442000,Chromosome,GCA_965194465.1,assembly,yes
Biphyllus lunatus,197003,Biphyllidae,Polyphaga,DToL,icBipLuna3.hap2.1,Chromosome,published,GCA_965194665.1,CBDADP01,417.61,8572763,Chromosome,GCA_965194665.1,assembly,yes
Propylea quattuordecimpunctata,558720,Coccinellidae,Polyphaga,DToL,icProQuat1.1,Chromosome,published,GCA_976925235.1,CDRFSA01,579.3,21063383,Chromosome,GCA_976925235.1,assembly,yes
Ips sexdentatus,55985,Curculionidae,Polyphaga,DToL,icIpsSexd1.hap2.1,Chromosome,published,GCA_976954485.1,CDRJTE01,264.12,8625464,Chromosome,GCA_976954485.1,assembly,yes
Ips sexdentatus,55985,Curculionidae,Polyphaga,DToL,icIpsSexd1.hap1.1,Chromosome,published,GCA_976954535.1,CDRJTJ01,284.38,8200202,Chromosome,GCA_976954535.1,assembly,yes
Larinus planus,202009,Curculionidae,Polyphaga,DToL,icLarPlan3.hap1.1,Chromosome,published,GCA_977012605.1,,1137.81,27391000,Chromosome,GCA_977012605.1,assembly,yes
Larinus planus,202009,Curculionidae,Polyphaga,DToL,icLarPlan3.hap2.1,Chromosome,published,GCA_977012685.1,CDRNFT01,1181.72,1628523,Chromosome,GCA_977012685.1,assembly,yes
Phaleria cadaverina,1470699,Tenebrionidae,Polyphaga,DToL,icPhaCada2.1,Chromosome,published,GCA_977013135.1,CDRNGO01,367.34,5469000,Chromosome,GCA_977013135.1,assembly,yes
Polydrusus impressifrons,1342090,Curculionidae,Polyphaga,DToL,icPolImpr1.hap2.1,Scaffold,published,GCA_977013155.1,CDRNHH01,540.56,21473277,Scaffold,GCA_977013155.1,assembly,yes
Polydrusus impressifrons,1342090,Curculionidae,Polyphaga,DToL,icPolImpr1.hap1.1,Chromosome,published,GCA_977013515.1,CDRNHY01,567.1,23749401,Chromosome,GCA_977013515.1,assembly,yes
Sphaeridium bipustulatum,290649,Hydrophilidae,Polyphaga,DToL,icSphBipu4.1,Chromosome,published,GCA_977013595.1,CDRNGK01,261.74,4115265,Chromosome,GCA_977013595.1,assembly,yes
Gonodera luperus,700380,Tenebrionidae,Polyphaga,DToL,icGonLupe2.hap1.1,Chromosome,published,GCA_977014565.1,CDRNKS01,327.52,656533,Chromosome,GCA_977014565.1,assembly,yes
Gonodera luperus,700380,Tenebrionidae,Polyphaga,DToL,icGonLupe2.hap2.1,Scaffold,published,GCA_977014665.1,CDRNKX01,344.83,574649,Scaffold,GCA_977014665.1,assembly,yes
Stenocarus ruficornis,1342239,Curculionidae,Polyphaga,DToL,icSteRufc1.hap1.1,Chromosome,published,GCA_977017535.1,CDRNVO01,607.13,24964000,Chromosome,GCA_977017535.1,assembly,yes
Stenocarus ruficornis,1342239,Curculionidae,Polyphaga,DToL,icSteRufc1.hap2.1,Scaffold,published,GCA_977017545.1,CDRNVP01,600.14,26297405,Scaffold,GCA_977017545.1,assembly,yes
Platyrhinus resinosus,1586622,Anthribidae,Polyphaga,DToL,icPlaResi1.hap1.1,Chromosome,published,GCA_977061565.1,CDRUAZ01,764.04,5966951,Chromosome,GCA_977061565.1,assembly,yes
Platyrhinus resinosus,1586622,Anthribidae,Polyphaga,DToL,icPlaResi1.hap2.1,Scaffold,published,GCA_977061615.1,CDRUBA01,758.34,5543836,Scaffold,GCA_977061615.1,assembly,yes
Calodromius spilotus,1553381,Carabidae,Adephaga,DToL,icCalSpil2.1,Chromosome,published,GCA_977063495.1,CDSBUP01,992.29,9193000,Chromosome,GCA_977063495.1,assembly,yes
Monotoma picipes,878149,Monotomidae,Polyphaga,DToL,icMonPici2.1,Chromosome,published,GCA_977065965.1,CDRUOT01,183.09,1957789,Chromosome,GCA_977065965.1,assembly,yes
Mononychus punctumalbum,1342213,Curculionidae,Polyphaga,DToL,icMonPunc1.hap1.1,Chromosome,published,GCA_977066395.1,CDRUPX01,384.61,14901000,Chromosome,GCA_977066395.1,assembly,yes
Mononychus punctumalbum,1342213,Curculionidae,Polyphaga,DToL,icMonPunc1.hap2.1,Scaffold,published,GCA_977066425.1,CDRUQD01,385.56,15997243,Scaffold,GCA_977066425.1,assembly,yes
Acupalpus dubius,346686,Carabidae,Adephaga,DToL,icAcuDubi2.1,Chromosome,published,GCA_977071005.1,CDRVHS01,656.07,1035434,Chromosome,GCA_977071005.1,assembly,yes
Phratora vitellinae,153785,Chrysomelidae,Polyphaga,DToL,icPhrVite1.1,Chromosome,published,GCA_977071015.1,CDRVHP01,565.07,5970765,Chromosome,GCA_977071015.1,assembly,yes
Mycetophagus atomarius,433053,Mycetophagidae,Polyphaga,DToL,icMycAtom3.1,Chromosome,published,GCA_977112535.1,CDSBHN01,140.05,3526068,Chromosome,GCA_977112535.1,assembly,yes
Carabus nemoralis,49290,Carabidae,Adephaga,DToL,icCarNemo1.1,Chromosome,published,GCA_977790985.1,CDVXJF01,237.44,308120,Chromosome,GCA_977790985.1,assembly,yes
Cis bilamellatus,577748,Ciidae,Polyphaga,DToL,icCisBila1.1,Chromosome,published,GCA_977930235.1,CDWRDD01,249.05,1966089,Chromosome,GCA_977930235.1,assembly,yes
Nedyus quadrimaculatus,202049,Curculionidae,Polyphaga,DToL,icNedQuad3.1,Chromosome,published,GCA_977969715.1,CDWWRY01,1228.32,3660000,Chromosome,GCA_977969715.1,assembly,yes
Tytthaspis sedecimpunctata,347477,Coccinellidae,Polyphaga,DToL,icTytSede3.1,Chromosome,published,GCA_977970285.1,CDWWTH01,355.68,8946478,Chromosome,GCA_977970285.1,assembly,yes
Crudosilis ruficollis,879036,Cantharidae,Polyphaga,DToL,icCruRufi1.1,Chromosome,published,GCA_978018155.1,CDXDGR01,1193.65,3161911,Chromosome,GCA_978018155.1,assembly,yes
Aplotarsus incanus,350097,Elateridae,Polyphaga,DToL,icAplInca1.hap1.1,Chromosome,published,GCA_978018165.1,CDXDGO01,694.43,17310533,Chromosome,GCA_978018165.1,assembly,yes
Aplotarsus incanus,350097,Elateridae,Polyphaga,DToL,icAplInca1.hap2.1,Scaffold,published,GCA_978018175.1,CDXDGN01,632.64,15872020,Scaffold,GCA_978018175.1,assembly,yes
Taeniapion urticarium,202217,Apionidae,Polyphaga,DToL,icTaeUrti2.1,Chromosome,published,GCA_978019935.1,CDXDKC01,827.05,819000,Chromosome,GCA_978019935.1,assembly,yes
Liophloeus tessulatus,202024,Curculionidae,Polyphaga,DToL,icLioTess1.hap2.1,Scaffold,published,GCA_978021415.1,CDXDPW01,1201.08,19502891,Scaffold,GCA_978021415.1,assembly,yes
Liophloeus tessulatus,202024,Curculionidae,Polyphaga,DToL,icLioTess1.hap1.1,Chromosome,published,GCA_978021545.1,CDXDPU01,1199.43,26848683,Chromosome,GCA_978021545.1,assembly,yes
Platydracus latebricola,1553674,Staphylinidae,Polyphaga,DToL,icPlaLate1.hap1.1,Chromosome,published,GCA_978021435.1,CDXDPX01,1396.24,3085000,Chromosome,GCA_978021435.1,assembly,yes
Platydracus latebricola,1553674,Staphylinidae,Polyphaga,DToL,icPlaLate1.hap2.1,Scaffold,published,GCA_978021455.1,CDXDPV01,1253.22,3117354,Scaffold,GCA_978021455.1,assembly,yes
Agonum viduum,795042,Carabidae,Adephaga,DToL,icAgoVidu2.1,Chromosome,published,GCA_978021445.1,CDXDPQ01,583.17,2822791,Chromosome,GCA_978021445.1,assembly,yes
Anaglyptus mysticus,877856,Cerambycidae,Polyphaga,DToL,icAnaMyst1.hap1.1,Chromosome,published,GCA_978041785.1,CDXGPC01,938.95,6958517,Chromosome,GCA_978041785.1,assembly,yes
Xantholinus longiventris,346870,Staphylinidae,Polyphaga,DToL,icXanLong1.hap2.1,Scaffold,published,GCA_978045115.1,CDXHBW01,480.32,288501,Scaffold,GCA_978045115.1,assembly,yes
Xantholinus longiventris,346870,Staphylinidae,Polyphaga,DToL,icXanLong1.hap1.1,Chromosome,published,GCA_978045125.1,CDXHBU01,474.07,287807,Chromosome,GCA_978045125.1,assembly,yes
Aegialia arenaria,206943,Scarabaeidae,Polyphaga,DToL,icAegAren1.hap1.1,Chromosome,published,GCA_978045345.1,CDXHCM01,424.27,8448757,Chromosome,GCA_978045345.1,assembly,yes
Aegialia arenaria,206943,Scarabaeidae,Polyphaga,DToL,icAegAren1.hap2.1,Scaffold,published,GCA_978045385.1,CDXHCN01,418.28,8183181,Scaffold,GCA_978045385.1,assembly,yes
Paederus riparius,878345,Staphylinidae,Polyphaga,DToL,icPaeRipa1.hap2.1,Scaffold,published,GCA_978046075.1,CDXHFG01,1227.89,383133,Scaffold,GCA_978046075.1,assembly,yes
Paederus riparius,878345,Staphylinidae,Polyphaga,DToL,icPaeRipa1.hap1.1,Chromosome,published,GCA_978046105.1,CDXHFH01,1201.41,358822,Chromosome,GCA_978046105.1,assembly,yes
Calathus fuscipes,127480,Carabidae,Adephaga,DToL,icCalFusc1.hap2.1,Scaffold,published,GCA_978120685.1,CDXSCN01,993.01,7940226,Scaffold,GCA_978120685.1,assembly,yes
Calathus fuscipes,127480,Carabidae,Adephaga,DToL,icCalFusc1.hap1.1,Chromosome,published,GCA_978122415.1,CDXSHM01,1037.85,6459000,Chromosome,GCA_978122415.1,assembly,yes
Amara familiaris,1553055,Carabidae,Adephaga,DToL,icAmaFami1.hap1.1,Chromosome,published,GCA_978120735.1,CDXSCP01,967.78,9411346,Chromosome,GCA_978120735.1,assembly,yes
Amara familiaris,1553055,Carabidae,Adephaga,DToL,icAmaFami1.hap2.1,Chromosome,published,GCA_978123715.1,CDXSNE01,857.12,9189600,Chromosome,GCA_978123715.1,assembly,yes
Attagenus pellio,41096,Dermestidae,Polyphaga,DToL,icAttPell1.hap1.1,Chromosome,published,GCA_978258735.1,CDYMLW01,365.43,31450487,Chromosome,GCA_978258735.1,assembly,yes
Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,DToL,icPhaCoch1.hap1.1,Chromosome,published,GCA_979016925.1,CECUEK01,936.67,2113065,Chromosome,GCA_979016925.1,assembly,yes
Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,DToL,icPhaCoch1.hap2.1,Scaffold,published,GCA_979300185.1,CEEJZN01,907.61,1983865,Scaffold,GCA_979300185.1,assembly,yes
Chrysolina herbacea,75521,Chrysomelidae,Polyphaga,DToL,icChrHerb2.hap1.1,Chromosome,published,GCA_979300175.1,CEEKCC01,1277.23,1254064,Chromosome,GCA_979300175.1,assembly,yes
Coelostoma orbiculare,290652,Hydrophilidae,Polyphaga,DToL,icCoeOrbi2.hap2.1,Scaffold,published,GCA_979606525.1,CEGDBI01,729.11,248329,Scaffold,GCA_979606525.1,assembly,yes
Coelostoma orbiculare,290652,Hydrophilidae,Polyphaga,DToL,icCoeOrbi2.hap1.1,Chromosome,published,GCA_979606585.1,CEGDCH01,750.99,247587,Chromosome,GCA_979606585.1,assembly,yes
Phyllobius pyri,202125,Curculionidae,Polyphaga,DToL,icPhyPyri4.hap2.1,Scaffold,published,GCA_980747085.1,CEMPRH01,760.76,2474889,Scaffold,GCA_980747085.1,assembly,yes
Amara convexiuscula,1553052,Carabidae,Adephaga,DToL,icAmaConx1.hap2.1,Scaffold,published,GCA_981558475.1,CERFQJ01,714.13,3156096,Scaffold,GCA_981558475.1,assembly,yes
Acupalpus parvulus,877764,Carabidae,Adephaga,DToL,icAcuParv1.hap1.1,Chromosome,published,GCA_981690485.1,CERYXV01,571.87,12668308,Chromosome,GCA_981690485.1,assembly,yes
Acupalpus parvulus,877764,Carabidae,Adephaga,DToL,icAcuParv1.hap2.1,Scaffold,published,GCA_981690495.1,CERYXU01,589.99,12536701,Scaffold,GCA_981690495.1,assembly,yes
Otiorhynchus rugosostriatus,703598,Curculionidae,Polyphaga,DToL,icOtiRugo1.hap1.1,Chromosome,published,GCA_982191755.1,CEUUQR01,397.5,13140803,Chromosome,GCA_982191755.1,assembly,yes
Otiorhynchus rugosostriatus,703598,Curculionidae,Polyphaga,DToL,icOtiRugo1.hap2.1,Scaffold,published,GCA_982191845.1,CEUURB01,351.86,12945056,Scaffold,GCA_982191845.1,assembly,yes
Chrysolina hyperici,111402,Chrysomelidae,Polyphaga,DToL,icChrHype1.hap2.1,Scaffold,published,GCA_982259055.1,CEVEMD01,672.23,13242675,Scaffold,GCA_982259055.1,assembly,yes
Chrysolina hyperici,111402,Chrysomelidae,Polyphaga,DToL,icChrHype1.hap1.1,Chromosome,published,GCA_982264245.1,CEVFDU01,731.51,11703684,Chromosome,GCA_982264245.1,assembly,yes
Agonum gracile,1553041,Carabidae,Adephaga,DToL,icAgoGrac1.hap2.1,Scaffold,published,GCA_982290455.1,CEVITY01,624.25,14908039,Scaffold,GCA_982290455.1,assembly,yes
Agonum gracile,1553041,Carabidae,Adephaga,DToL,icAgoGrac1.hap1.1,Chromosome,published,GCA_982290465.1,CEVITZ01,646.97,15338390,Chromosome,GCA_982290465.1,assembly,yes
Phaedon tumidulus,346819,Chrysomelidae,Polyphaga,DToL,icPhaTumi1.hap1.1,Chromosome,published,GCA_982319415.1,CEVNEI01,1537.23,3027198,Chromosome,GCA_982319415.1,assembly,yes
Phaedon tumidulus,346819,Chrysomelidae,Polyphaga,DToL,icPhaTumi1.hap2.1,Scaffold,published,GCA_982319525.1,CEVNEQ01,1458.46,3069027,Scaffold,GCA_982319525.1,assembly,yes
Oxypselaphus obscurus,877726,Carabidae,Adephaga,DToL,icOxyObsc1.hap1.1,Chromosome,published,GCA_982345265.1,CEVQZP01,613.63,1554830,Chromosome,GCA_982345265.1,assembly,yes
Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,unknown,ASM1297910v1,Scaffold,published,GCA_012979105.1,JABAOJ01,782.1,23825,Scaffold,GCA_012979105.1,assembly,yes
Hypothenemus hampei,57062,Curculionidae,Polyphaga,unknown,CENICAFE_Hham_1.1,Scaffold,published,GCA_013372445.1,JABRWK01,162.57,36294,Scaffold,GCA_013372445.1,assembly,yes
Hypothenemus hampei,57062,Curculionidae,Polyphaga,unknown,ASM101285v1,Scaffold,published,GCA_001012855.1,LBGY01,151.27,1979,Scaffold,GCA_001012855.1,assembly,yes
Lamprigera yunnana,370605,Lampyridae,Polyphaga,unknown,ASM1336807v1,Contig,published,GCA_013368075.1,JABVZV01,1052.93,3509824,Contig,GCA_013368075.1,assembly,yes
Abscondita terminalis,2069292,Lampyridae,Polyphaga,unknown,Ate,Scaffold,published,GCA_013368085.1,JABVZW01,499.65,1220005,Scaffold,GCA_013368085.1,assembly,yes
Limonius californicus,1132045,Elateridae,Polyphaga,unknown,UIdaho_Lcali_1.0,Scaffold,published,GCA_014611495.1,JABXWE01,1072.67,19395,Scaffold,GCA_014611495.1,assembly,yes
Propylea japonica,158624,Coccinellidae,Polyphaga,unknown,ASM1342104v1,Chromosome,published,GCA_013421045.1,JACDNR01,851.23,813984,Chromosome,GCA_013421045.1,assembly,yes
Hycleus phaleratus,1248972,Meloidae,Polyphaga,unknown,ASM1384118v1,Scaffold,published,GCA_013841185.1,JACDRP01,90.87,75478,Scaffold,GCA_013841185.1,assembly,yes
Hycleus cichorii,1270216,Meloidae,Polyphaga,unknown,ASM1384121v1,Scaffold,published,GCA_013841215.1,JACDRQ01,99.17,86942,Scaffold,GCA_013841215.1,assembly,yes
Listronotus bonariensis,292309,Curculionidae,Polyphaga,unknown,ASM1417023v1,Scaffold,published,GCA_014170235.1,JACEGR01,1112.44,120328,Scaffold,GCA_014170235.1,assembly,yes
Elaeidobius kamerunicus,2663966,Curculionidae,Polyphaga,unknown,AAL_Ekam_1.0,Scaffold,published,GCA_014849505.1,JACGEL01,269.64,849,Scaffold,GCA_014849505.1,assembly,yes
Tribolium madens,41895,Tenebrionidae,Polyphaga,unknown,Tmad_KSU_1.1,Scaffold,published,GCA_015345945.1,JADDYM01,149.38,76672,Scaffold,GCA_015345945.1,assembly,yes
Nebria ingens riversi,2783810,Carabidae,Adephaga,unknown,ASM1834450v1,Scaffold,published,GCA_018344505.1,JADQWA01,147.4,196262,Scaffold,GCA_018344505.1,assembly,yes
Epicauta chinensis,941254,Meloidae,Polyphaga,unknown,Echi_V1,Contig,published,GCA_021725515.1,JAEDXX01,151.88,659431,Contig,GCA_021725515.1,assembly,yes
Pissodes strobi,49927,Curculionidae,Polyphaga,unknown,GSC_weevil_1.0,Scaffold,published,GCA_016904865.1,JAEQML01,2025.02,24927,Scaffold,GCA_016904865.1,assembly,yes
Lethrus apterus,1612427,Geotrupidae,Polyphaga,unknown,ASM1839719v1,Scaffold,published,GCA_018397195.1,JAFFZR01,286.93,7185,Scaffold,GCA_018397195.1,assembly,yes
Gonioctena quinquepunctata,63699,Chrysomelidae,Polyphaga,unknown,ULB_GQUI_1.0,Contig,published,GCA_018342105.1,JAFIRS01,1731.95,432124,Contig,GCA_018342105.1,assembly,yes
Tribolium confusum,7071,Tenebrionidae,Polyphaga,unknown,Tcon_1.0,Chromosome,published,GCA_019155225.1,JAGFVK01,305.13,4094517,Chromosome,GCA_019155225.1,assembly,yes
Calosoma granatense,196575,Carabidae,Adephaga,unknown,RBINS_Cgran_v1,Scaffold,published,GCA_022063505.1,JAGJTL01,167.87,14497,Scaffold,GCA_022063505.1,assembly,yes
Listronotus oregonensis,412987,Curculionidae,Polyphaga,unknown,ASM1935988v1,Scaffold,published,GCA_019359885.1,JAHBCN01,1293.28,53091,Scaffold,GCA_019359885.1,assembly,yes
Pachyrhynchus sulphureomaculatus,2840399,Curculionidae,Polyphaga,unknown,P_sulf_FINAL_HiC_nocotam_named,Chromosome,published,GCA_019049505.1,JAHKBH01,2051.39,299666,Chromosome,GCA_019049505.1,assembly,yes
Oryctes rhinoceros,72550,Scarabaeidae,Polyphaga,unknown,Orh_CPCRI_v1,Scaffold,published,GCA_019329825.1,JAHRIJ01,372.39,8606,Scaffold,GCA_019329825.1,assembly,yes
Novius pumilus,1902202,Coccinellidae,Polyphaga,unknown,ASM2065415v1,Contig,published,GCA_020654155.1,JAIFOV01,182.42,7579481,Contig,GCA_020654155.1,assembly,yes
Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,unknown,UIdaho_icDCau_1.0,Scaffold,published,GCA_020975425.1,JAJJBS01,315.35,62896,Scaffold,GCA_020975425.1,assembly,yes
Tribolium freemani,7072,Tenebrionidae,Polyphaga,unknown,Tfre_KSU_1.0,Chromosome,published,GCA_022388455.1,JAKCWA01,300.43,1044995,Chromosome,GCA_022388455.1,assembly,yes
Zophobas atratus,7074,Tenebrionidae,Polyphaga,unknown,Zophobas_atratus_KSU_v.1,Chromosome,published,GCA_022388445.1,JAKCWB01,478.15,6737797,Chromosome,GCA_022388445.1,assembly,yes
Agrilus planipennis,224129,Buprestidae,Polyphaga,unknown,Apla_2.0,Scaffold,published,GCA_000699045.2,JENH02,353.06,28329,Scaffold,GCA_000699045.2,assembly,yes
