accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
NC_061637.1,Megetra punctata,Meloidae,Polyphaga,15640,2022/03/31,no
OK360640.1,Megetra punctata,Meloidae,Polyphaga,15640,2022/03/12,no
NC_060769.1,Meloe mediterraneus,Meloidae,Polyphaga,15130,2022/02/11,no
OK254885.1,Meloe mediterraneus,Meloidae,Polyphaga,15130,2022/02/08,no
MW476520.1,Meloe poggii,Meloidae,Polyphaga,15626,2021/10/06,no
NC_067881.1,Meloe proscarabaeus,Meloidae,Polyphaga,15653,2022/11/12,no
OL840851.1,Meloe proscarabaeus,Meloidae,Polyphaga,15653,2022/10/16,no
KX161860.1,Mylabris aulica,Meloidae,Polyphaga,15758,2017/10/10,no
NC_036046.1,Mylabris aulica,Meloidae,Polyphaga,15758,2017/10/18,no
MT880604.1,Mylabris calida,Meloidae,Polyphaga,15149,2020/09/21,no
NC_050854.1,Mylabris calida,Meloidae,Polyphaga,15149,2020/10/27,no
NC_071193.1,Mylabris phalerata,Meloidae,Polyphaga,16108,2023/02/03,yes
OM161968.1,Mylabris phalerata,Meloidae,Polyphaga,16108,2023/01/18,yes
NC_061638.1,Mylabris quadripunctata,Meloidae,Polyphaga,16683,2022/03/31,yes
OK360641.1,Mylabris quadripunctata,Meloidae,Polyphaga,16683,2022/03/12,yes
NC_084172.1,Mylabris sibirica,Meloidae,Polyphaga,15794,2023/12/07,yes
OR582428.1,Mylabris sibirica,Meloidae,Polyphaga,15794,2023/10/24,yes
NC_061639.1,Oenas fusicornis,Meloidae,Polyphaga,15638,2022/03/31,no
OK360642.1,Oenas fusicornis,Meloidae,Polyphaga,15638,2022/03/12,no
NC_082862.1,Pseudabris hingstoni,Meloidae,Polyphaga,15689,2023/10/04,no
OP080610.1,Pseudabris hingstoni,Meloidae,Polyphaga,15689,2023/09/05,no
NC_082861.1,Pseudabris longiventris,Meloidae,Polyphaga,15685,2023/10/04,no
OP080609.1,Pseudabris longiventris,Meloidae,Polyphaga,15685,2023/09/05,no
NC_082860.1,Pseudabris przewalskyi,Meloidae,Polyphaga,15692,2023/10/04,no
OP080608.1,Pseudabris przewalskyi,Meloidae,Polyphaga,15692,2023/09/05,no
OP796060.1,Pseudabris przewalskyi,Meloidae,Polyphaga,15685,2023/05/22,no
NC_060768.1,Spastonyx nemognathoides,Meloidae,Polyphaga,15627,2022/02/11,no
OK254883.1,Spastonyx nemognathoides,Meloidae,Polyphaga,15627,2022/02/08,no
MT548781.1,Zonitoschema geniculata,Meloidae,Polyphaga,15623,2024/05/01,no
PV770977.1,Anthocomus abdominalis,Melyridae,Polyphaga,15725,2025/06/16,no
PV770976.1,Attalus longicornis,Melyridae,Polyphaga,15826,2025/06/16,no
PV770975.1,Attalus sp.,Melyridae,Polyphaga,15754,2025/06/16,no
PV770973.1,Carphuroides chinensis,Melyridae,Polyphaga,15574,2025/06/16,no
PV770974.1,Carphurus sp.,Melyridae,Polyphaga,15641,2025/06/16,no
PV770980.1,Clanoptilus savioi,Melyridae,Polyphaga,15706,2025/06/16,no
PV770991.1,Condylops sp.,Melyridae,Polyphaga,15459,2025/06/16,no
PV770982.1,Cordylepherus facialis,Melyridae,Polyphaga,15832,2025/06/16,no
PV770998.1,Cordylepherus sp.,Melyridae,Polyphaga,15703,2025/06/16,no
MW365444.1,Cordylepherus sp. YY-2021,Melyridae,Polyphaga,15824,2021/02/16,no
PV770983.1,Cyrtosus christophi,Melyridae,Polyphaga,14956,2025/06/16,no
PV770979.1,Cyrtosus sp.,Melyridae,Polyphaga,15817,2025/06/16,no
PV770997.1,Ebaeini sp.,Melyridae,Polyphaga,15484,2025/06/16,no
PV770996.1,Ebaeus fischeri,Melyridae,Polyphaga,14738,2025/06/16,no
PV770993.1,Hypomixis sp.,Melyridae,Polyphaga,15403,2025/06/16,no
PV770978.1,Illopini sp.,Melyridae,Polyphaga,15556,2025/06/16,no
PV770981.1,Intybia sp.,Melyridae,Polyphaga,15412,2025/06/16,no
PV770984.1,Malachius bicornutus,Melyridae,Polyphaga,15686,2025/06/16,no
PV770992.1,Mimapalochrus excavatus,Melyridae,Polyphaga,15418,2025/06/16,no
PV770995.1,Troglocollops kaszabi,Melyridae,Polyphaga,15387,2025/06/16,no
PV770990.1,Tropiebaeus rubroapicalis,Melyridae,Polyphaga,15567,2025/06/16,no
PV770994.1,Yunnanebaeus sp.,Melyridae,Polyphaga,15552,2025/06/16,no
KX035132.1,Monotoma quadricollis,Monotomidae,Polyphaga,16064,2017/10/31,no
NC_036266.1,Monotoma quadricollis,Monotomidae,Polyphaga,16064,2017/11/16,no
FJ859904.1,Mordella atrata,Mordellidae,Polyphaga,15540,2009/09/11,no
NC_013254.1,Mordella atrata,Mordellidae,Polyphaga,15540,2009/09/18,no
KX087318.1,Mordellochroa milleri,Mordellidae,Polyphaga,15760,2017/10/13,no
KX087355.1,Tomoxia bucephala,Mordellidae,Polyphaga,15501,2017/10/13,no
AP019414.1,Aethina tumida,Nitidulidae,Polyphaga,15198,2025/05/14,yes
MF943248.1,Aethina tumida,Nitidulidae,Polyphaga,16576,2017/10/04,yes
NC_036104.1,Aethina tumida,Nitidulidae,Polyphaga,16576,2017/10/18,yes
OM084952.1,Aethina tumida,Nitidulidae,Polyphaga,16577,2022/10/23,yes
PP446304.1,Astylogethes corvinus,Nitidulidae,Polyphaga,16213,2026/01/01,no
PP446306.1,Brassicogethes aeneus,Nitidulidae,Polyphaga,16008,2026/01/01,yes
MN604384.1,Carpophilus dimidiatus,Nitidulidae,Polyphaga,15717,2020/02/04,no
NC_046036.1,Carpophilus dimidiatus,Nitidulidae,Polyphaga,15717,2020/03/07,no
MN604383.1,Carpophilus pilosellus,Nitidulidae,Polyphaga,15686,2020/02/04,no
NC_046035.1,Carpophilus pilosellus,Nitidulidae,Polyphaga,15686,2020/03/07,no
KX087289.1,Epuraea guttata,Nitidulidae,Polyphaga,16021,2017/10/13,no
MW044619.1,Epuraea sp.,Nitidulidae,Polyphaga,16641,2021/06/14,no
NC_087779.1,Epuraea terminalis,Nitidulidae,Polyphaga,15666,2024/04/10,no
PP350830.1,Epuraea terminalis,Nitidulidae,Polyphaga,15666,2024/02/28,no
PP446307.1,Fabogethes circularis,Nitidulidae,Polyphaga,16327,2026/01/01,no
PV976734.1,Glischrochilus japonius,Nitidulidae,Polyphaga,15660,2025/08/02,no
PX600292.1,Glischrochilus japonius,Nitidulidae,Polyphaga,15357,2025/11/30,no
PP446294.1,Lamiogethes difficilis,Nitidulidae,Polyphaga,17138,2026/01/01,no
PP446295.1,Lamiogethes difficiloides,Nitidulidae,Polyphaga,17635,2026/01/01,no
PP446296.1,Lamiogethes falcatus,Nitidulidae,Polyphaga,15985,2026/01/01,no
PP446297.1,Lamiogethes forcipenis,Nitidulidae,Polyphaga,17049,2026/01/01,no
MT554373.1,Librodor japonicus,Nitidulidae,Polyphaga,18114,2024/05/01,yes
PP446298.1,Meligethes auropilosus,Nitidulidae,Polyphaga,15686,2026/01/01,no
PP446301.1,Meligethes chinensis,Nitidulidae,Polyphaga,16671,2026/01/01,no
PP446299.1,Meligethes hammondi,Nitidulidae,Polyphaga,16466,2026/01/01,no
PP446302.1,Meligethes pseudochinensis,Nitidulidae,Polyphaga,16432,2026/01/01,no
PP446300.1,Meligethes semenovi,Nitidulidae,Polyphaga,16920,2026/01/01,no
PP446303.1,Meligethes wagneri,Nitidulidae,Polyphaga,18130,2026/01/01,no
MT749275.1,Omosita colon,Nitidulidae,Polyphaga,16544,2020/09/21,no
MW029385.1,Omosita colon,Nitidulidae,Polyphaga,16544,2021/05/18,no
NC_050852.1,Omosita colon,Nitidulidae,Polyphaga,16544,2020/10/27,no
PP446305.1,Sagittogethes initialis,Nitidulidae,Polyphaga,17754,2026/01/01,no
OR387485.1,Teucriogethes sp.,Nitidulidae,Polyphaga,16737,2024/04/10,no
PP446308.1,Thymogethes nitidicollis,Nitidulidae,Polyphaga,16613,2026/01/01,no
MW044620.1,Xenostrongylus variegatus,Nitidulidae,Polyphaga,17657,2021/06/14,no
KX035152.1,Nosodendron sp. BMNH 840466,Nosodendridae,Polyphaga,16704,2017/10/31,no
KT876907.1,Noterus clavicornis BMNH1425090,Noteridae,Adephaga,19697,2016/06/20,no
KX087319.1,Nacerdes carniolica,Oedemeridae,Polyphaga,15568,2017/10/13,no
MT554395.1,Nacerdes potanini,Oedemeridae,Polyphaga,15545,2024/05/01,no
EU877953.1,Tetraphalerus bruchi,Ommatidae,Archostemata,15689,2008/10/01,no
NC_011328.1,Tetraphalerus bruchi,Ommatidae,Archostemata,15689,2008/10/03,no
KX087325.1,Orsodacne cerasi,Orsodacnidae,Polyphaga,16691,2017/10/13,no
MT548772.1,Aceraius grandis,Passalidae,Polyphaga,18621,2024/05/01,no
MH781547.1,Leptaulax koreanus,Passalidae,Polyphaga,18730,2019/09/08,no
NC_044848.1,Leptaulax koreanus,Passalidae,Polyphaga,18730,2019/09/21,no
MK059423.1,Ophrygonius sp.,Passalidae,Polyphaga,16195,2022/01/15,no
MK208300.1,Ophrygonius sp.,Passalidae,Polyphaga,16195,2021/11/28,no
NC_060602.1,Ophrygonius sp.,Passalidae,Polyphaga,16195,2022/02/11,no
KJ938490.1,Brasilocerus sp. 2 DTA-2012,Phengodidae,Polyphaga,14458,2015/07/02,no
MK614531.1,Hymaea magna,Phloeostichidae,Polyphaga,16888,2020/08/23,no
NC_051933.1,Hymaea magna,Phloeostichidae,Polyphaga,16888,2020/12/10,no
EU877952.1,Priasilpha obscura,Phloeostichidae,Polyphaga,16603,2008/10/01,no
NC_011326.1,Priasilpha obscura,Phloeostichidae,Polyphaga,16603,2008/10/03,no
MH779812.1,Idgia oculata,Prionoceridae,Polyphaga,15805,2019/09/22,no
NC_044896.1,Idgia oculata,Prionoceridae,Polyphaga,15805,2019/09/26,no
MT554392.1,Prionoceridae sp.,Prionoceridae,Polyphaga,15633,2024/05/01,no
KX035154.1,Psephenidae sp. BMNH 842687,Psephenidae,Polyphaga,16312,2017/10/31,no
KU302777.1,Scydosella musawasensis,Ptiliidae,Polyphaga,14719,2016/04/17,no
MT554393.1,Epilichas sp.,Ptilodactylidae,Polyphaga,16358,2024/05/01,no
PV394242.1,Ptilodactylidae sp.,Ptilodactylidae,Polyphaga,15972,2026/03/17,no
KT696225.1,Anobiinae sp. BMNH 1274383,Ptinidae,Polyphaga,18471,2016/02/29,no
PV298246.1,Ernobius sp.,Ptinidae,Polyphaga,15399,2025/03/30,no
KY549398.1,Gibbium aequinoctiale,Ptinidae,Polyphaga,17020,2021/12/29,no
MF417629.1,Lasioderma serricorne,Ptinidae,Polyphaga,15958,2018/01/24,no
MG592705.1,Lasioderma serricorne,Ptinidae,Polyphaga,14476,2018/07/08,no
MH817138.1,Lasioderma serricorne,Ptinidae,Polyphaga,14550,2019/05/08,no
MT254408.1,Lasioderma serricorne,Ptinidae,Polyphaga,15009,2021/08/08,no
NC_038197.1,Lasioderma serricorne,Ptinidae,Polyphaga,14476,2018/08/03,no
KX819317.1,Stegobium paniceum,Ptinidae,Polyphaga,15271,2018/01/01,no
MK947052.1,Stegobium paniceum,Ptinidae,Polyphaga,15474,2019/07/07,no
NC_036678.1,Stegobium paniceum,Ptinidae,Polyphaga,15271,2018/01/18,no
MT554394.1,Pyrochroa sp.,Pyrochroidae,Polyphaga,15307,2024/05/01,no
PQ826455.1,Diplocladon atripenne,Rhagophthalmidae,Polyphaga,15918,2025/06/30,no
PQ824501.1,Diplocladon sp. 1 JXZ-2025a,Rhagophthalmidae,Polyphaga,15976,2025/06/30,no
PQ826443.1,Diplocladon sp. 1 JXZ-2025a,Rhagophthalmidae,Polyphaga,16825,2025/06/30,no
PQ826444.1,Diplocladon sp. 1 JXZ-2025a,Rhagophthalmidae,Polyphaga,15975,2025/06/30,no
PQ826453.1,Diplocladon sp. 3 JXZ-2025a,Rhagophthalmidae,Polyphaga,16773,2025/06/30,no
PQ826445.1,Diplocladon sp. 4 JXZ-2025a,Rhagophthalmidae,Polyphaga,16465,2025/06/30,no
PQ826446.1,Diplocladon sp. 4 JXZ-2025a,Rhagophthalmidae,Polyphaga,16470,2025/06/30,no
PQ826447.1,Diplocladon sp. 5 JXZ-2025a,Rhagophthalmidae,Polyphaga,17391,2025/06/30,no
PQ826448.1,Diplocladon sp. 7 JXZ-2025a,Rhagophthalmidae,Polyphaga,16375,2025/06/30,no
PQ826449.1,Diplocladon sp. 7 JXZ-2025a,Rhagophthalmidae,Polyphaga,16375,2025/06/30,no
PQ826450.1,Diplocladon sp. 7 JXZ-2025a,Rhagophthalmidae,Polyphaga,16375,2025/06/30,no
PQ826451.1,Diplocladon sp. 7 JXZ-2025a,Rhagophthalmidae,Polyphaga,17055,2025/06/30,no
PQ826452.1,Diplocladon sp. 7 JXZ-2025a,Rhagophthalmidae,Polyphaga,16375,2025/06/30,no
PQ826454.1,Diplocladon sp. 8 JXZ-2025a,Rhagophthalmidae,Polyphaga,16356,2025/06/30,no
MK292104.1,Rhagophthalmus giganteus,Rhagophthalmidae,Polyphaga,16220,2019/09/04,yes
DQ888607.1,Rhagophthalmus lufengensis,Rhagophthalmidae,Polyphaga,15982,2007/04/04,no
NC_010969.1,Rhagophthalmus lufengensis,Rhagophthalmidae,Polyphaga,15982,2008/06/13,no
AB267275.1,Rhagophthalmus ohbai,Rhagophthalmidae,Polyphaga,15704,2007/04/03,no
NC_010964.1,Rhagophthalmus ohbai,Rhagophthalmidae,Polyphaga,15704,2008/06/23,no
MZ618348.1,Metoecus cf. javanus JL-2021a,Ripiphoridae,Polyphaga,16109,2021/09/06,no
NC_062615.1,Metoecus javanus,Ripiphoridae,Polyphaga,16016,2022/04/22,no
OM830232.1,Metoecus javanus,Ripiphoridae,Polyphaga,16016,2022/04/12,no
OM830233.1,Metoecus javanus,Ripiphoridae,Polyphaga,16264,2022/04/12,no
OM830234.1,Metoecus javanus,Ripiphoridae,Polyphaga,16259,2022/04/12,no
KX035153.1,Pelecotoma fennica,Ripiphoridae,Polyphaga,15946,2017/10/31,no
NC_036277.1,Pelecotoma fennica,Ripiphoridae,Polyphaga,15946,2017/11/16,no
NC_082079.1,Aegialites californicus,Salpingidae,Polyphaga,15899,2023/09/16,no
OR168935.1,Aegialites californicus,Salpingidae,Polyphaga,15899,2023/07/26,no
KX035146.1,Vincenzellus ruficollis,Salpingidae,Polyphaga,15754,2017/10/31,no
NC_036274.1,Vincenzellus ruficollis,Salpingidae,Polyphaga,15754,2017/11/16,no
PZ254736.1,Acrossus histrio,Scarabaeidae,Polyphaga,19728,2026/04/12,no
ON529251.1,Amphimallon sp.,Scarabaeidae,Polyphaga,17433,2023/07/05,no
PX659699.1,Anomala antiqua,Scarabaeidae,Polyphaga,16430,2026/01/03,no
NC_087770.1,Anomala aulax,Scarabaeidae,Polyphaga,16246,2024/04/10,no
PP350013.1,Anomala aulax,Scarabaeidae,Polyphaga,16246,2024/02/26,no
PQ139506.1,Anomala aulax,Scarabaeidae,Polyphaga,16733,2024/08/10,no
NC_069575.1,Anomala corpulenta,Scarabaeidae,Polyphaga,16673,2023/01/22,no
OL449520.1,Anomala corpulenta,Scarabaeidae,Polyphaga,16673,2022/12/07,no
PP265270.1,Anomala exoleta,Scarabaeidae,Polyphaga,17066,2026/03/02,no
PP265271.1,Anomala perplexa diana,Scarabaeidae,Polyphaga,16857,2026/03/02,no
PP265272.1,Anomala praecoxalis,Scarabaeidae,Polyphaga,16913,2026/03/02,no
NC_082143.1,Anomala rufiventris,Scarabaeidae,Polyphaga,17240,2023/09/16,no
OR208200.1,Anomala rufiventris,Scarabaeidae,Polyphaga,17240,2023/08/02,no
MW829593.1,Anomala russiventris,Scarabaeidae,Polyphaga,15601,2022/07/13,no
NC_065310.1,Anomala russiventris,Scarabaeidae,Polyphaga,15601,2022/08/03,no
PQ139505.1,Anomala sp.,Scarabaeidae,Polyphaga,17907,2024/08/10,no
PX427735.1,Anomala sp. T73439-1,Scarabaeidae,Polyphaga,15163,2025/10/04,no
PQ139504.1,Anomala vitalisi,Scarabaeidae,Polyphaga,16706,2024/08/10,no
PQ139503.1,Anomala xantholoma,Scarabaeidae,Polyphaga,16570,2024/08/10,no
PZ254737.1,Aphodius distinctus,Scarabaeidae,Polyphaga,21204,2026/04/12,no
PZ254738.1,Aphodius elegans,Scarabaeidae,Polyphaga,18264,2026/04/12,no
PZ254740.1,Aphodius erraticus,Scarabaeidae,Polyphaga,15443,2026/04/12,no
PZ254739.1,Aphodius foetidus,Scarabaeidae,Polyphaga,20869,2026/04/12,no
PZ254741.1,Aphodius haemorrhoidalis,Scarabaeidae,Polyphaga,18978,2026/04/12,no
PZ254743.1,Aphodius pictus,Scarabaeidae,Polyphaga,15352,2026/04/12,no
PZ254742.1,Aphodius quadratus,Scarabaeidae,Polyphaga,17920,2026/04/12,no
PZ254745.1,Aphodius tenellus,Scarabaeidae,Polyphaga,15399,2026/04/12,no
MW829596.1,Apogonia cf. basalis,Scarabaeidae,Polyphaga,15226,2022/07/13,no
NC_065312.1,Apogonia cf. basalis,Scarabaeidae,Polyphaga,15226,2022/08/03,no
MW829595.1,Apogonia splendida,Scarabaeidae,Polyphaga,16728,2022/07/13,no
NC_065311.1,Apogonia splendida,Scarabaeidae,Polyphaga,16728,2022/08/03,no
NC_082144.1,Callistethus plagiicollis,Scarabaeidae,Polyphaga,16870,2023/09/16,no
OR208201.1,Callistethus plagiicollis,Scarabaeidae,Polyphaga,16870,2023/08/02,no
MT548771.1,Campsiura mirabilis,Scarabaeidae,Polyphaga,16123,2024/05/01,no
MT548776.1,Catharsius molossus,Scarabaeidae,Polyphaga,15036,2024/05/01,yes
OK484308.1,Chalcosoma caucasus caucasus,Scarabaeidae,Polyphaga,19444,2021/12/08,no
PV081860.1,Cheirotonus battareli,Scarabaeidae,Polyphaga,17651,2025/12/31,no
PV081863.1,Cheirotonus formosanus,Scarabaeidae,Polyphaga,20288,2025/12/31,no
PV081861.1,Cheirotonus fujiokai,Scarabaeidae,Polyphaga,15425,2025/12/31,no
MN893347.1,Cheirotonus gestroi,Scarabaeidae,Polyphaga,16899,2020/04/08,no
NC_046890.1,Cheirotonus gestroi,Scarabaeidae,Polyphaga,16899,2020/04/10,no
KC428100.1,Cheirotonus jansoni,Scarabaeidae,Polyphaga,17249,2013/12/30,no
NC_023246.1,Cheirotonus jansoni,Scarabaeidae,Polyphaga,17249,2014/01/02,no
PV081866.1,Cheirotonus macleayi,Scarabaeidae,Polyphaga,17052,2025/12/31,no
PV081865.1,Cheirotonus parryi,Scarabaeidae,Polyphaga,16591,2025/12/31,no
PV081862.1,Cheirotonus peracanus,Scarabaeidae,Polyphaga,16928,2025/12/31,no
NC_062860.1,Clinterocera nigra,Scarabaeidae,Polyphaga,17014,2022/04/27,no
OM718872.1,Clinterocera nigra,Scarabaeidae,Polyphaga,17014,2022/04/05,no
OM718874.1,Clinterocera nigra,Scarabaeidae,Polyphaga,17709,2022/04/05,no
MW829597.1,Coenochilus striatus,Scarabaeidae,Polyphaga,15480,2022/07/13,no
NC_065313.1,Coenochilus striatus,Scarabaeidae,Polyphaga,15480,2022/08/03,no
MG253030.1,Copris tripartitus,Scarabaeidae,Polyphaga,15457,2020/02/12,no
NC_045923.1,Copris tripartitus,Scarabaeidae,Polyphaga,15457,2020/02/24,no
OP963801.1,Cyphochilus crataceus,Scarabaeidae,Polyphaga,17946,2024/01/24,no
KY100258.1,Dichotomius schiffleri,Scarabaeidae,Polyphaga,14802,2018/11/01,no
NC_039689.1,Dichotomius schiffleri,Scarabaeidae,Polyphaga,14802,2018/11/09,no
OK012569.1,Dicronocephalus adamsi,Scarabaeidae,Polyphaga,18550,2021/10/19,no
OK484300.1,Dicronorhina derbyana,Scarabaeidae,Polyphaga,16609,2021/12/08,no
OK484309.1,Dynastes hercules hercules,Scarabaeidae,Polyphaga,17813,2021/12/08,no
OQ998898.1,Dynastes satanas,Scarabaeidae,Polyphaga,16973,2024/05/25,no
MW632132.1,Eophileurus chinensis,Scarabaeidae,Polyphaga,16624,2021/03/21,no
NC_059757.1,Eophileurus chinensis,Scarabaeidae,Polyphaga,16624,2022/01/04,no
MZ726798.1,Eotrichia niponensis,Scarabaeidae,Polyphaga,16851,2021/09/19,no
PV081864.1,Euchirus dupontianus,Scarabaeidae,Polyphaga,17026,2025/12/31,no
OR253996.1,Euchirus longimanus,Scarabaeidae,Polyphaga,16591,2024/07/10,no
OK484299.1,Eudicella quadrimaculata,Scarabaeidae,Polyphaga,16690,2021/12/08,no
OK484302.1,Eudicella smithii,Scarabaeidae,Polyphaga,16712,2021/12/08,no
OK484301.1,Eudicella tetraspilota euthalia,Scarabaeidae,Polyphaga,18302,2021/12/08,no
NC_065036.1,Eupatorus gracilicornis,Scarabaeidae,Polyphaga,18391,2022/08/03,no
OL692745.1,Eupatorus gracilicornis,Scarabaeidae,Polyphaga,18391,2022/06/29,no
ON817147.1,Eupatorus hardwickei,Scarabaeidae,Polyphaga,18494,2022/09/11,no
ON756028.1,Eupatorus sukkiti,Scarabaeidae,Polyphaga,18445,2022/09/11,no
MW369065.1,Gametis jucunda,Scarabaeidae,Polyphaga,17980,2022/05/16,no
NC_063846.1,Gametis jucunda,Scarabaeidae,Polyphaga,17980,2022/06/03,no
MW369066.1,Glycyphana fulvistemma,Scarabaeidae,Polyphaga,16701,2022/05/16,no
NC_063847.1,Glycyphana fulvistemma,Scarabaeidae,Polyphaga,16701,2022/06/03,no
OK484303.1,Goliathus goliatus,Scarabaeidae,Polyphaga,18699,2021/12/08,no
OR911500.1,Gymnopleurus geoffroyi,Scarabaeidae,Polyphaga,15460,2023/12/24,no
OR911501.1,Gymnopleurus mopsus,Scarabaeidae,Polyphaga,15590,2023/12/24,no
MT548775.1,Holotrichia diomphalia,Scarabaeidae,Polyphaga,16293,2024/05/01,no
MW874410.1,Holotrichia parallela,Scarabaeidae,Polyphaga,16975,2021/08/30,no
PX423277.1,Hoplia bomiensis,Scarabaeidae,Polyphaga,16311,2025/10/01,no
OK484304.1,Jumnos ruckeri,Scarabaeidae,Polyphaga,19468,2021/12/08,no
PQ722904.1,Maladera orientalis,Scarabaeidae,Polyphaga,16972,2025/01/08,no
OK484305.1,Mecynorhina polyphemus,Scarabaeidae,Polyphaga,16422,2021/12/08,no
OK484306.1,Mecynorhina torquata ugandensis,Scarabaeidae,Polyphaga,17192,2021/12/08,no
OK484310.1,Megasoma elephas elephas,Scarabaeidae,Polyphaga,16785,2021/12/08,no
OK484311.1,Megasoma mars,Scarabaeidae,Polyphaga,16983,2021/12/08,no
PV694446.1,Melolontha hippocastani,Scarabaeidae,Polyphaga,17998,2025/06/16,no
PV699640.1,Melolontha sp.,Scarabaeidae,Polyphaga,16700,2026/01/20,no
PQ067309.1,Mimela junii,Scarabaeidae,Polyphaga,16805,2024/07/29,no
MT548770.1,Mimela splendens,Scarabaeidae,Polyphaga,15584,2024/05/01,no
MZ064554.1,Mimela splendens,Scarabaeidae,Polyphaga,15148,2021/06/19,no
NC_068084.1,Miridiba trichophora,Scarabaeidae,Polyphaga,16284,2022/11/12,no
OM084951.1,Miridiba trichophora,Scarabaeidae,Polyphaga,16284,2022/10/23,no
PQ067330.1,Onthophagus fodiens,Scarabaeidae,Polyphaga,16139,2024/07/29,no
PZ254735.1,Onthophagus hecate,Scarabaeidae,Polyphaga,15410,2026/04/12,no
OK484312.1,Oryctes nasicornis,Scarabaeidae,Polyphaga,20396,2021/12/08,no
MT457815.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,20898,2020/06/28,yes
MW632131.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,15339,2021/03/21,yes
NC_059756.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,15339,2022/01/04,yes
ON764799.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,15315,2022/12/24,yes
ON764800.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,15475,2022/12/24,yes
ON764801.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,17275,2022/12/24,yes
OP694175.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,15484,2023/02/19,yes
OP694176.1,Oryctes rhinoceros,Scarabaeidae,Polyphaga,17142,2023/02/19,yes
KU500641.1,Osmoderma caeleste,Scarabaeidae,Polyphaga,15341,2016/08/08,no
NC_030778.1,Osmoderma opicum,Scarabaeidae,Polyphaga,15341,2016/08/16,no
PZ254744.1,Planolinellus vittatus,Scarabaeidae,Polyphaga,15528,2026/04/12,no
MW143080.1,Polyphylla gracilicornis,Scarabaeidae,Polyphaga,16793,2020/11/25,no
NC_054285.1,Polyphylla gracilicornis,Scarabaeidae,Polyphaga,16793,2021/04/15,no
MT548774.1,Polyphylla laticollis,Scarabaeidae,Polyphaga,16408,2024/05/01,no
MG971231.1,Popillia japonica,Scarabaeidae,Polyphaga,16541,2018/07/16,yes
NC_038115.1,Popillia japonica,Scarabaeidae,Polyphaga,16541,2018/07/31,yes
OP903023.1,Popillia japonica,Scarabaeidae,Polyphaga,16947,2024/05/08,yes
OP903024.1,Popillia japonica,Scarabaeidae,Polyphaga,16945,2024/05/08,yes
OP903025.1,Popillia japonica,Scarabaeidae,Polyphaga,16945,2024/05/08,yes
OP903026.1,Popillia japonica,Scarabaeidae,Polyphaga,16945,2024/05/08,yes
OP903027.1,Popillia japonica,Scarabaeidae,Polyphaga,16948,2024/05/08,yes
OP903028.1,Popillia japonica,Scarabaeidae,Polyphaga,16948,2024/05/08,yes
OP903029.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903030.1,Popillia japonica,Scarabaeidae,Polyphaga,16949,2024/05/08,yes
OP903031.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903032.1,Popillia japonica,Scarabaeidae,Polyphaga,16949,2024/05/08,yes
OP903033.1,Popillia japonica,Scarabaeidae,Polyphaga,16947,2024/05/08,yes
OP903034.1,Popillia japonica,Scarabaeidae,Polyphaga,16951,2024/05/08,yes
OP903035.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903036.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903037.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903038.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903039.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903040.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903041.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903042.1,Popillia japonica,Scarabaeidae,Polyphaga,16945,2024/05/08,yes
OP903043.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903044.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903045.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903046.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903047.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903048.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903049.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903050.1,Popillia japonica,Scarabaeidae,Polyphaga,16944,2024/05/08,yes
OP903051.1,Popillia japonica,Scarabaeidae,Polyphaga,16945,2024/05/08,yes
OP903052.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
OP903053.1,Popillia japonica,Scarabaeidae,Polyphaga,16943,2024/05/08,yes
OP903054.1,Popillia japonica,Scarabaeidae,Polyphaga,16946,2024/05/08,yes
